epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
32,5680.97,0.47943,0.39375,0.98994,0.95596,0.93706,0.97753,0.88782,0.4058,0.30118,0.91202,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
33,5856.93,0.47285,0.38609,0.98591,0.95445,0.94146,0.9781,0.88864,0.4043,0.30021,0.9122,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
34,6032.63,0.46743,0.38045,0.98475,0.95784,0.93783,0.97752,0.88785,0.40251,0.29931,0.91158,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
35,6207.95,0.46175,0.37173,0.98059,0.955,0.9389,0.97693,0.88915,0.40036,0.29519,0.91102,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
36,6383.76,0.45583,0.36897,0.97747,0.95545,0.94155,0.97871,0.89066,0.39673,0.29079,0.90777,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
37,6559.34,0.45224,0.3616,0.97771,0.95413,0.93862,0.97908,0.89145,0.39321,0.28822,0.90546,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
38,6734.25,0.4459,0.35356,0.97183,0.95622,0.93617,0.97919,0.89295,0.39201,0.28725,0.90406,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
39,6908.96,0.44166,0.35254,0.97062,0.95079,0.94536,0.97915,0.89349,0.3914,0.28751,0.90388,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
40,7084.02,0.43593,0.34389,0.96864,0.95056,0.94618,0.97907,0.89321,0.39084,0.2873,0.90389,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
41,7258.81,0.40558,0.26363,0.92734,0.96184,0.93618,0.97948,0.89385,0.38877,0.2867,0.90245,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
42,7431.23,0.39436,0.24897,0.92038,0.96156,0.93874,0.97941,0.89479,0.38606,0.28386,0.90085,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882
43,7603.44,0.38546,0.24261,0.91644,0.96097,0.93897,0.97977,0.89519,0.38322,0.28089,0.89913,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
44,7775.82,0.37654,0.2332,0.91261,0.96362,0.94051,0.97999,0.89604,0.38187,0.27911,0.89891,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486
45,7948.44,0.36782,0.22652,0.90933,0.96154,0.94367,0.98028,0.89637,0.37992,0.27606,0.89782,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288
46,8120.91,0.36044,0.22029,0.9031,0.96075,0.94495,0.9807,0.89728,0.37813,0.27386,0.89702,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
47,8292.6,0.35303,0.21359,0.89884,0.95908,0.94743,0.98073,0.89782,0.37641,0.27353,0.89608,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892
48,8465.2,0.34555,0.20856,0.89592,0.96008,0.94762,0.98082,0.89795,0.37473,0.27312,0.89546,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694
49,8637.59,0.3406,0.20321,0.89315,0.96101,0.94728,0.97951,0.89849,0.37364,0.27359,0.89493,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496
50,8809.79,0.33584,0.19858,0.89081,0.96154,0.94682,0.97967,0.89823,0.37283,0.27257,0.89452,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298
